precinct,raceName,name,votePercentage
1002,"Judge, Court of Criminal Appeals, Place 4",Tina Clinton ,63.42%
1002,"Judge, Court of Criminal Appeals, Place 9",David Newell ,36.62%
1002,"Judge, Court of Criminal Appeals, Place 9",Brandon Birmingham ,63.38%
1002,"State Senator, District 26",Jos,78.64%
1002,"State Senator, District 26",Juli,21.36%
1002,"Chief Justice, 4th Court of Appeals District",Ren,37.09%
1002,"Chief Justice, 4th Court of Appeals District",Rebeca Martinez ,62.91%
1002,"District Judge, 37th Judicial District",Joseph P. Appelt ,34.27%
1002,"District Judge, 37th Judicial District",Nicole Garza ,65.73%
1002,"District Judge, 144th Judicial District (Unexpired Term)",Melisa Skinner ,38.39%
1002,"District Judge, 144th Judicial District (Unexpired Term)",Michael Mery ,61.61%
1002,"District Judge, 386th Judicial District",Daphne Previti Austin ,36.44%
1002,"District Judge, 386th Judicial District","Jacqueline ""Jackie"" Vald",63.56%
1002,"District Judge, 399th Judicial District",Walden Shelton ,34.92%
1002,"District Judge, 399th Judicial District",Frank J. Castro ,65.08%
1002,"District Judge, 407th Judicial District",Stephani Walsh ,36.09%
1002,"District Judge, 407th Judicial District",Tina Torres ,63.91%
1002,Sheriff,"Gerard C. ""Gerry"" Rickhoff ",31.91%
1002,Sheriff,Javier Salazar ,67.02%
1002,Sheriff,Write-In Totals ,1.07%
1002,County Tax Assessor-Collector,Stephen David Pennington ,32.83%
1002,County Tax Assessor-Collector,Albert Uresti ,67.17%
1002,"County Commissioner, Precinct No. 1",Gabriel Lara ,36.07%
1002,"County Commissioner, Precinct No. 1","Rebeca ""Becky"" Clay-Flores ",63.93%
1002,CITY OF SAN ANTONIO - PROPOSITION A,FOR ,75.12%
1002,CITY OF SAN ANTONIO - PROPOSITION A,AGAINST ,24.88%
1002,CITY OF SAN ANTONIO - PROPOSITION B,FOR ,76.26%
1002,CITY OF SAN ANTONIO - PROPOSITION B,AGAINST ,23.74%
1002,Advanced Transportation District - Proposition A,FOR ,67.41%
